Song Title,Artists,BPM,Comments,Length
"Leave Me Alone (Ruby Red Dress)","Helen Reddy","133","70s Classic Rock-A Sides/Pop-Radio/WMSport","3:28"

"Let's Go (8ct looper)","The Cars","131","70s Classic Rock-B Sides","3:33"

"Lido Shuffle ","Boz Scaggs","141","70s Classic Rock-B Sides","3:44"

"Life During Wartime","Talking Heads","138","70s Classic Rock-A Sides","5:51"

"Life In The Fast Lane (HFO)","The Eagles","112","70s Classic Rock-B Sides","6:01"

"Life In The Fast Lane (original) [Dj Cut 2026]","The Eagles","109.480000","70s Classic Rock-A Sides/Pop-Radio","5:08"

"Life Is a Rock (But the Radio Rolled Me)","Reunion","112","70s Classic Rock-B Sides","3:27"

"Listen To The Music (Single Version)","The Doobie Brothers","106","70s Classic Rock-A Sides/Pop-Radio","3:27"

"Little Bit O' Soul (Original Hit Version)","Music Explosion","132","70s Classic Rock-A Sides","2:21"

"Little Willy","The Sweet","127","70s Classic Rock-B Sides","3:14"

"Living After Midnight","Judas Priest","135","70s Classic Rock-B Sides","3:10"

"London Calling (Remastered)","The Clash","133","70s Classic Rock-A Sides","3:21"

"Long Cool Woman (In a Black Dress) [1999 Remaster]","The Hollies","138","70s Classic Rock-A Sides/Pop-Radio","3:19"

"Long Cool Woman (In a Black Dress)","The Hollies","137","70s Classic Rock-B Sides","3:19"

"Long Train Runnin'","The Doobie Brothers","117","70s Classic Rock-A Sides/Pop-Radio","3:28"

"Lookin' Out My Back Door (Studio)","Creedence Clearwater Revival","105","70s Classic Rock-B Sides","2:33"

"Looking Out My Backdoor (live)","Creedence Clearwater Revival","99","70s Classic Rock-B Sides","2:45"

"Lover Her Madly ","The Doors","147","70s Classic Rock-B Sides","3:39"

"Love Is Alive ","Gary Wright ","98","70s Classic Rock-B Sides","4:03"

"Love Is Like Oxygen","The Sweet","123","70s Classic Rock-B Sides","3:48"

"Love Stinks","The J. Geils Band","89","70s Classic Rock-B Sides","3:45"

"Love the One You're With (Dj Special 2024 Ok)","Stephen Stills","97","70s Classic Rock-A Sides/Pop-Radio","3:04"

"Love Will Keep Us Together (Dj Cut 2026)2.0","Captain & Tennille","","70s Classic Rock-A Sides/Pop-Radio","3:33"

"Lovemachine (Short)","Supermax","130","70s Classic Rock-B Sides","4:18"

"Lowdown","Boz Skaggs","116","70s Classic Rock-A Sides/Pop-Radio","5:16"

"Lust for life","Iggy Pop","102","70s Classic Rock-B Sides","5:11"

"Magic Man (102.80bpm)","Heart","103","70s Classic Rock-B Sides","5:28"

"Magic","Olivia Newton-John","104","70s Classic Rock-B Sides","4:32"

"Mama Can't Buy You Love (4 Phrase)","Elton John & Thom Bell","91","70s Classic Rock-B Sides","4:05"

"Mama Told Me Not to Come (8ct Looper)","Three Dog Night","119","70s Classic Rock-A Sides","3:17"

"Mamma Mia","ABBA","137","70s Classic Rock-B Sides","3:35"

"Me and Julio Down by the Schoolyard","Paul Simon","105","70s Classic Rock-B Sides","2:45"

"Me And You And A Dog Named Boo (8ct looper)","Lobo","121","70s Classic Rock-A Sides","2:55"

"Midnight Rider","The Allman Brothers Band","94","70s Classic Rock-B Sides","3:00"

"Miss You_(slow_start)","The Rolling Stones","109","70s Classic Rock-A Sides/Pop-Radio","4:48"

"Misty Mountain Hop {I really Don't know} (Remastered)","Led Zeppelin","132","70s Classic Rock-A Sides/Pop-Radio/Menssports","4:39"

"Money (Dj special 2022)","Pink Floyd","119","70s Classic Rock-B Sides","5:18"

"Montego Bay","Bobby Bloom","106","70s Classic Rock-B Sides","2:57"

"More Than A Feeling","Boston","109","70s Classic Rock-A Sides","4:45"

"Moving In Stereo (Dj Cut 2025)(Tricky mix out)","The Cars","115","70s Classic Rock-A Sides","4:39"

"My Best Friends Girl","The Cars","122","70s Classic Rock-B Sides","3:42"

"My Guitar Wants To Kill Your Mama","Frank Zappa & The Mothers of Invention","111","70s Classic Rock-B Sides","3:36"

"My Life","Billy Joel","131","70s Classic Rock-B Sides","4:44"

"My Maria","B.w. Stevenson","122","70s Classic Rock-B Sides","2:32"

"NIB [Slow Start]","Black Sabbath","105","70s Classic Rock-B Sides","5:14"

"Never Been Any Reason","Head East","134","70s Classic Rock-B Sides","5:10"

"New Ways _ Train Train (Dj cut 2022)","Jeff Beck Group","112","70s Classic Rock-B Sides","5:53"

"Nights On Broadway (Dj Cut 2025)","The Bee Gees","89","70s Classic Rock-B Sides","4:54"

"No More Mr. Nice Guy","Alice Cooper","129","70s Classic Rock-B Sides","3:06"

"No One To Depend On","Santana","111","70s Classic Rock-B Sides","5:32"

"Oh My My","Ringo Starr","121","70s Classic Rock-A Sides","4:19"

"Ohio (C,S,N&Y) (150bpm) (4 Phrase)","Crosby, Stills, Nash & Young","150","70s Classic Rock-B Sides","3:04"

"Old Time Rock & Roll (Dj Cut 2026)","Bob Seger & the Silver Bullet Band","124","70s Classic Rock-A Sides/Pop-Radio","3:31"

"One Bad Apple (Dj Cut 2026)","The Osmonds","101","70s Classic Rock-A Sides/Pop-Radio","3:05"

"One Bourbon, One Scotch, One Beer (George Thorogood)","George Thorogood & The Destroyers","155","70s Classic Rock-B Sides","8:27"

"One Of These Nights (Dj Special 2025)","The Eagles","110","70s Classic Rock-A Sides/Pop-Radio","4:51"

"One Way or Another (4 Phrase) (80bpm)","Blondie","80","70s Classic Rock-A Sides/Pop-Radio/WMSport","3:36"

"Only the Good Die Young (Dj Cut)","Billy Joel","151","70s Classic Rock-A Sides/Pop-Radio","3:47"

"Over The Hills And Far Away (Slow Start)[get out quick]","Led Zeppelin","100","70s Classic Rock-A Sides","4:49"

"Oye Como Va (Dj Cut 2026)","Santana","128.880000","70s Classic Rock-A Sides/Pop-Radio/Menssports","4:29"

"Paranoid - 82","Black Sabbath","81","70s Classic Rock-A Sides/Pop-Radio/Menssports","2:47"

"Patch It Up (Doubletime)","Elvis Presley","85","70s Classic Rock-B Sides","4:01"

"Peace Frog","The Doors","111","70s Classic Rock-B Sides","2:58"

"Peace of Mind","Boston","128","70s Classic Rock-A Sides","5:04"

"Peg","Steely Dan","117","70s Classic Rock-A Sides/Pop-Radio","4:00"

"Peter Gunn Theme (Dj Cut 2024)","The Blues Brothers","121","70s Classic Rock-B Sides","3:53"

"Polk Salad Annie (Live) [Dj Cut 2024]","Elvis Presley","144","70s Classic Rock-A Sides","4:33"

"Pretty Vacant","Sex Pistols","147","70s Classic Rock-A Sides","3:18"

"Proud Mary (Elvis Live)[8ct Looper]","Elvis Presley","138","70s Classic Rock-A Sides","2:48"

"Psycho Killer","Talking Heads","119.810000","70s Classic Rock-B Sides","4:20"

"Puppet Man (4Phrase)","Tom Jones","83","70s Classic Rock-B Sides","3:23"

"Radar Love (Original UK Single Version) (doubletime)","Golden Earring","99","70s Classic Rock-B Sides","3:44"

"Ramblin' Man (Doubletime)","The Allman Brothers Band","91","70s Classic Rock-B Sides","4:49"

"Reeling In The Years -134 BPM","Steely Dan","134","70s Classic Rock-A Sides/Pop-Radio","4:37"

"Renegade (Dj cut)","Styx","105","70s Classic Rock-B Sides","3:35"

"Respectable","The Rolling Stones","153","70s Classic Rock-B Sides","3:08"

