Song Title,Artists,BPM,Comments,Length
"Just The Two of US (George Benson)","George Benson","96","70s Classic Soul A-Sides/Pop-Radio","3:56"

"Keep On Truckin 97bpms (speeds up A LOT)","Eddie Kendricks","97","70s Classic Soul B-Sides","3:34"

"La La Peace Song (Remastered)","O.C. Smith","109","70s Classic Soul B-Sides","3:26"

"Ladies Night (Dj Cut 2026)","Kool & The Gang","111.410000","70s Disco Soul/Pop-Radio ","3:31"

"Lady (You Bring Me Up) (Dj Cut 2024)","The Commodores","121","70s Classic Soul A-Sides/Pop-Radio","3:52"

"Lady Marmalade (Tempo Adjusted)","LaBelle","116","70s Classic Soul A-Sides/WMSport","3:22"

"Lay Away (4 Phrase)","The Isley Brothers","81","70s Classic Soul B-Sides","3:25"

"Let The Music Play","Barry White","101","70s Classic Soul B-Sides","6:15"

"Let's Do It Again (4 Phrase)","The Staple Singers","81","70s Classic Soul B-Sides","4:54"

"Let's Get It On (Dj cut 2022) (4 phrase doubletime)","Marvin Gaye","83","70s Classic Soul B-Sides","4:13"

"Let's Get Serious","Jermaine Jackson","110","70s Classic Soul B+Sides/Dance","3:31"

"Let's Groove","Earth, Wind & Fire","125","70s Classic Soul A-Sides/Pop-Radio/MensSports","5:34"

"Let's Stay Together","Al Green","101","70s Classic Soul A-Sides","3:19"

"Little Child Runnin' Wild","Curtis Mayfield","111","70s Classic Soul B-Sides","5:26"

"Little Ghetto Boy (Live)","Donny Hathaway","93","70s Classic Soul B-Sides","4:30"

"Livin' It Up (Friday Night) (Boost)","Bell & James","119","70s Classic Soul B+Sides/Dance","3:23"

"Living for the City","Stevie Wonder","98","70s Classic Soul A-Sides/Pop-Radio","3:40"

"Livin' For The Weekend (104 intro.Up 127.Drop to 112)","The O'Jays","104","70s Classic Soul B+Sides","6:35"

"Livin' For The Weekend (Fast Start)(Drop to 112)","The O'Jays","127","70s Classic Soul B+Sides","6:35"

"Living in America","James Brown","114","70s Classic Soul B-Sides","5:57"

"Look At California (stars @ 104. Ends @ 133)","Maze Frankie Beverly and Maze","104","70s Classic Soul B-Sides","8:46"

"Love And Happiness (Dj Cut 2025)","Al Green","98","70s Classic Soul A-Sides/Pop-Radio","4:40"

"Love Hangover (Dj cut)","Diana Ross","111","70s Classic Soul A-Sides/Pop-Radio","2:33"

"Love Is the Message","Mfsb Feat. The Three Degrees","111","70s Classic Soul B-Sides","6:36"

"Love Machine - The Politicians","The Politicians","120","70s Classic Soul B-Sides","2:54"

