Song Title,Artists,BPM,Comments,Length
"Hold It Now, Hit It","Beastie Boys","95","80s Rock- A Sides/New Wave/Alt","3:27"

"Hold Me Now INTRO NEEDS BOOST","Thompson Twins","108","80s Rock- A Sides/New Wave/Alt","4:47"

"Hold On Loosely","38 Special","128","80s Rock- B Sides","4:22"

"Hold the Line (looper) (96BPM)","Toto","96","80s Rock- B Sides","3:56"

"Holiday - (Original)","Madonna","115","80s Rock- A Sides/Pop/Classic Rock/New Wave/Alt","6:10"

"Holiday Road (4 phrase doubletime)(94bpm)","Lindsey Buckingham","94","80s Rock- B Sides","2:10"

"Holiday","Madonna","117","80s Rock- A Sides/Pop/Classic Rock/New Wave/Alt/MensSports","4:05"

"Hot Hot Hot !!! (The Cure)","The Cure","112","80s Rock- A Sides/Guitar-Alt/New Wave/Alt","3:36"

"Hot Hot Hot [B.P](Dj Cut 2025)","Buster Poindexter","128","80s Rock- A Sides/Pop/Classic Rock","4:18"

"Hot In The City","Billy Idol","111","80s Rock- B Sides","3:39"

"Hungry Eyes (8ct looper)","Eric Carmen","111","80s Rock- B Sides","4:10"

"Hungry Like the Wolf","Duran Duran","129","80s Rock- A Sides/New Wave/Alt","3:27"

"Hurts So Good","John Cougar Mellencamp","126","80s Rock- A Sides/Classic Rock","3:42"

"I Can Dream About You","Dan Hartman","113","80s Rock- A Sides/Pop/Classic Rock","4:10"

"I Cant Drive 55","Sammy Hagar","134","80s Rock- B Sides","4:10"

"I Can't Go for That (No Can Do) [45 Version]","Hall & Oates","110","80s Rock- A Sides/Pop/Classic Rock","3:56"

"I Can't Wait (Dj Cut 2025)","Nu Shooz","103","80s Rock- A Sides/New Wave/Alt/WMSport","3:44"

"I Didn't Mean To Turn You On (Robert Palmer)","Robert Palmer","120","80s Rock- A Sides/Classic Rock","3:37"

"I Don't Know","Ozzy Osbourne","135","80s Rock- B Sides/Guitar","5:15"

"I Don't Wanna Go On With You Like That","Elton John","135","80s Rock- A Sides/Classic Rock","4:35"

"I Eat Cannibals","Toto Coelo","148","80s Rock- B Sides","3:30"

"I Hate Myself For Loving You  ","Joan Jett & The Blackhearts","118","80s Rock- B Sides","4:07"

"I Just Cant Get Enough","Depeche Mode","127","80s Rock- A Sides/New Wave/Alt/MensSports","3:44"

"I Just) Died in Your Arms","Cutting Crew","125","80s Rock- A Sides/New Wave/Alt","4:34"

"I Keep Forgetting (Aud Remaster)","Micheal McDonald","95","80s Rock- B Sides","3:40"

"I Know What Boys Like (Dj Cut 2022)(8ct looper)","The Waitresses","104","80s Rock- B Sides","3:22"

"I Love L.A.","Randy Newman","130","80s Rock- B Sides","3:29"

